 Water (kg/m3),Cement (kg/m3),Fine aggregate (kg/m3),Coarse aggregate (kg/m3),Slag (kg/m3),Fly ash (kg/m3),SP (kg/m3),Strength (MPa)
0.847918216,0.479714286,0.654902913,0.376282051,0.197704918,0.218181818,0.01,0.28811245
0.847918216,0.479714286,0.66105178,0.376282051,0.260273224,0.148787879,0.01,0.315443998
0.358698885,0.278571429,0.734110032,0.598461538,0.01,0.661515152,0.06520795,0.17443552
0.344572491,0.278571429,0.730064725,0.598461538,0.296885246,0.328181818,0.05784689,0.358505132
0.08063197,0.64047619,0.53184466,0.880512821,0.01,0.146363636,0.525274199,0.902904953
0.08063197,0.469047619,0.53184466,0.880512821,0.01,0.419090909,0.525274199,0.862744311
0.08063197,0.554761905,0.53184466,0.880512821,0.255901639,0.01,0.525274199,1.01
0.08063197,0.383333333,0.53184466,0.880512821,0.501803279,0.01,0.525274199,0.924100848
0.08063197,0.211904762,0.53184466,0.880512821,0.747704918,0.01,0.525274199,0.914060687
0.452379182,0.25,0.763236246,0.390769231,0.193060109,0.485757576,0.28972028,0.253641232
0.430074349,0.345238095,0.750291262,0.375384615,0.190327869,0.476666667,0.32284505,0.329500223
0.422639405,0.44047619,0.736537217,0.358717949,0.182131148,0.458484848,0.31180346,0.406474788
0.407769517,0.535714286,0.723592233,0.343333333,0.176666667,0.44030303,0.33388664,0.48233378
0.452379182,0.707142857,0.562993528,0.613589744,0.01,0.343333333,0.283463379,0.725528782
0.452379182,0.497619048,0.551747573,0.590641026,0.01,0.676666667,0.283463379,0.626242749
0.452379182,0.288095238,0.540582524,0.567820513,0.01,1.01,0.255491351,0.476755913
0.452379182,0.707142857,0.572055016,0.631923077,0.310546448,0.01,0.393879279,0.784654172
0.452379182,0.288095238,0.567524272,0.622820513,0.911639344,0.01,0.337199117,0.818121374
0.452379182,0.707142857,0.567524272,0.622692308,0.160273224,0.176666667,0.3044424,0.805850067
0.452379182,0.497619048,0.560809061,0.608974359,0.310546448,0.343333333,0.28603975,0.641860776
